from_stop_id,to_stop_id,transfer_type,min_transfer_time
StopPoint:AMIILOT2,StopPoint:AMIILOT1,2,82
StopPoint:AMICGMARN1,StopPoint:AMICGMARN2,2,35
StopPoint:AMICGMARN2,StopPoint:AMICGMARN1,2,35
StopPoint:AMIDUCLO1,StopPoint:AMIDUCLO2,2,86
StopPoint:AMIDUCLO2,StopPoint:AMIDUCLO1,2,86
StopPoint:AMIJANVI1,StopPoint:AMIJANVI2,2,230
StopPoint:AMIJANVI2,StopPoint:AMIJANVI1,2,230
StopPoint:AMIJAUREN1,StopPoint:AMIJAUREN2,2,34
StopPoint:AMIJAUREN2,StopPoint:AMIJAUREN1,2,34
StopPoint:AMIJMOUL1,StopPoint:AMIJMOUL2,2,44
StopPoint:AMIJMOUL2,StopPoint:AMIJMOUL1,2,44
StopPoint:AMIJOFFR1,StopPoint:AMIJOFFR2,2,106
StopPoint:AMIJOFFR2,StopPoint:AMIJOFFR1,2,106
StopPoint:AMIJOINV1,StopPoint:AMIJOINV2,2,93
StopPoint:AMIJOINV2,StopPoint:AMIJOINV1,2,93
StopPoint:AMICITAD4,StopPoint:AMIPKRUG1,2,171
StopPoint:AMIPKRUG1,StopPoint:AMICITAD4,2,171
StopPoint:AMIFALAI1,StopPoint:AMIFALAI2,2,99
StopPoint:AMIFALAI2,StopPoint:AMIFALAI1,2,99
StopPoint:AMIFONTAN1,StopPoint:AMIFONTAN2,2,26
StopPoint:AMIFONTAN2,StopPoint:AMIFONTAN1,2,26
StopPoint:AMINEUVI1,StopPoint:AMINEUVI2,2,121
StopPoint:AMINEUVI2,StopPoint:AMINEUVI1,2,121
StopPoint:AMIPAIXN1,StopPoint:AMIPAIXN2,2,32
StopPoint:AMIPAIXN2,StopPoint:AMIPAIXN1,2,32
StopPoint:AMIPROVI1,StopPoint:AMIPROVI2,2,188
StopPoint:AMIPROVI2,StopPoint:AMIPROVI1,2,188
StopPoint:AMICOLBE1,StopPoint:AMICOLBE2,2,101
StopPoint:AMICOLBE2,StopPoint:AMICOLBE1,2,101
StopPoint:AMILANGUN1,StopPoint:AMILANGUN2,2,30
StopPoint:AMILANGUN2,StopPoint:AMILANGUN1,2,30
StopPoint:AMILAURE1,StopPoint:AMILAURE2,2,34
StopPoint:AMILAURE2,StopPoint:AMILAURE1,2,34
StopPoint:AMITITIE1,StopPoint:AMITITIE2,2,127
StopPoint:AMITITIE2,StopPoint:AMITITIE1,2,127
StopPoint:AMIAUSSYN1,StopPoint:AMIAUSSYN2,2,122
StopPoint:AMIAUSSYN2,StopPoint:AMIAUSSYN1,2,122
StopPoint:AMIACACI1,StopPoint:AMIACACI2,2,167
StopPoint:AMIACACI2,StopPoint:AMIACACI1,2,167
StopPoint:AMICOURSN1,StopPoint:AMICOURSN2,2,33
StopPoint:AMICOURSN2,StopPoint:AMICOURSN1,2,33
StopPoint:AMIPROV1,StopPoint:AMIPROV2,2,21
StopPoint:AMIPROV2,StopPoint:AMIPROV1,2,21
StopPoint:AMILESCO1,StopPoint:AMILESCO2,2,17
StopPoint:AMILESCO2,StopPoint:AMILESCO1,2,17
StopPoint:AMILIBERN1,StopPoint:AMILIBERN2,2,99
StopPoint:AMILIBERN1,StopPoint:AMILIBERN3,2,135
StopPoint:AMILIBERN1,StopPoint:AMILIBERN4,2,142
StopPoint:AMILIBERN1,StopPoint:AMILIBERN5,2,123
StopPoint:AMILIBERN2,StopPoint:AMILIBERN1,2,99
StopPoint:AMILIBERN2,StopPoint:AMILIBERN3,2,212
